en	phonetic	cn	example	exampleCn	synonym	root
academic	/,ækəˈdɛmɪk/	adj. 学院的；学术的；纯理论的，不切实际的 n.  大学教师	He possessed no academic qualifications.	他没有学历。	同义：theoretical, undergraduate	同根：academically  学术上；学业上；academy  学院；研究院；学会；专科院校；academia  学术界；学术生涯
abundant	/əˈbʌndənt/	adj.  丰富的， 富裕的； 大量的， 充足的	an abundant supply of fresh water	充足的淡水供应	同义：full	同根：abundantly  丰富地；大量地；abundance  充裕，丰富
accommodate	/əˈkɑmədet/	vt.  容纳； 向…提供住处； 使适应， 顺应	He bought a huge house to accommodate his library.	他买了一座大房子来放他的藏书。	同义：adapt, adjust	同根：accommodating  随和的；乐于助人的；肯通融的；accommodative  适应的；[自] 调节的；予以方便的；随和的（等于accommodating）；accommodation  住处，膳宿；调节；和解；预订铺位
advocate	/ˈædvəkeɪt；-et/	vt.  拥护， 提倡， 主张 n.  拥护者， 提倡者； 辩护者， 律师	Extremists were openly advocating violence.	极端主义者公开鼓吹使用暴力。	同义：maintain, prophet	同根：advocacy  主张；拥护；辩护；advocator  提倡者，拥护者
ambiguous	/æmˈbɪɡjuəs/	adj.  引起歧义的， 模棱两可的， 含糊不清的	The language in the Minister’s statement is highly ambiguous.	部长的声明措辞很含糊。	同义：blurred	同根：ambiguously  含糊不清地
analyze	/ˈænəlaɪz/	v. 分析	We need to analyze the data carefully.	我们需要仔细分析数据。		
anticipate	/ænˈtɪsəˈpet/	vt.  预料， 预期， 期望； 先于…行动， 提前使用	Sales are better than anticipated.	销量比预期要好。	同义：hope	同根：anticipated  预期的；期望的；anticipatory  预期的；提早发生的；期待着的；anticipant  期望的
authentic	/ɔˈθɛntɪk/	adj.  真的， 真正的； 可靠的， 可信的	an authentic account	真实可信的说法	同义：actual	同根：authentically  真正地，确实地；可靠地；authentication  证明；鉴定；证实；authenticity  真实性，确实性；可靠性
coherent	/koˈhɪrənt/	adj.  条理清楚的， 连贯的； 一致的， 协调的	The three years of the course are planned as a coherent whole.	这三年的课程是作为连贯的整体来安排的。	同义：united	同根：coherently  连贯地；前后一致地；条理清楚地；互相偶合地；凝聚性地；cohesion  凝聚；结合；[力] 内聚力；coherence  一致；连贯性；凝聚
comprehensive	/ˌkɑːmprɪˈhensɪv/	adj.  广泛的； 综合的； 理解的	We offer our customers a comprehensive range of financial products.	我们为客户提供全面的金融产品。	同义：extensive	同根：comprehensible  可理解的；comprehensively  包括地；包括一切地；comprehension  理解；包含
concentrate	/ˈkɑnsnˈtret/	v. 全神贯注，全力以赴；集中，聚集；浓缩 n.  浓缩物， 浓缩液	Construction of the aircraft is being concentrated at Prestwick.	飞机制造正在向普雷斯特威克集中。	同义：focus, centre, compression	同根：concentrated  集中的；浓缩的；全神贯注的；concentration  浓度；集中；浓缩；专心；集合；concentricity  同心；集中性
confront	/kənˈfrʌnt/	vt.  迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证	The problems confronting the new government were enormous.	新政府面临的难题是巨大的。	同义：front	同根：confrontational  对抗的；对抗性的；confrontation  对抗；面对；对质
crucial	/ˈkrʊʃəl/	adj.  至关重要的， 决定性的	The conservation of tropical forests is of crucial importance .	保护热带雨林至关重要。	同义：important	同根：crucially  关键地；至关重要地
deteriorate	/dɪˈtɪrɪəret/	vi.  恶化， 变坏	Ethel’s health has deteriorated.	埃塞尔的健康状况恶化了。	同义：go ill, go ill	同根：deterioration  恶化；退化；堕落；deteriorator  堕落者
efficient	/ɪˈfɪʃnt/	adj.  效率高的； 有能力的	a very efficient secretary	效率高的秘书	同义：able	同根：efficacious  有效的；灵验的；efficiently  有效地；效率高地（efficient的副词形式）；efficaciously  有效地；灵验地
elaborate	/ɪˈlæbəret/	adj.  复杂的； 精心制作的 v.  详述， 详细制定	pure silks embroidered with elaborate patterns	绣有精美图案的真丝衣服	同义：detailed, tailor-make, thicken	同根：elaborately  精巧地；苦心经营地；elaboration  苦心经营，精巧；详细阐述；elaborateness  尽心竭力
enhance	/ɪnˈhæns/	vt.  提高， 增加， 加强	Good lighting will enhance any room.	良好的照明能给房间增色不少。	同义：raise	同根：enhanced  加强的；增大的；enhancive  加强的；增加的；enhancement  增加；放大
facilitate	/fəˈsɪləˈtet/	vt.  使…变得容易， 使便利			同义：promote	同根：facilitative  使便利的；facility  设施；设备；容易；灵巧；facilitator  服务商；促进者
inevitable	/ɪnˈɛvɪtəbl/	adj.  不可避免的， 必然的	A further escalation of the crisis now seems inevitable.	危机的进一步升级现在看来已不可避免。	同义：certain	同根：inevitably  不可避免地；必然地；inevitability  必然性；不可逃避
innovative	/ˈɪnəveɪtɪv/	adj. 创新的	The company is famous for innovative products.	这家公司以创新产品闻名。		
abolish	/əˈbɑlɪʃ/	vt.  彻底废除， 废止	Slavery was abolished in the US in the 19th century.	美国于19世纪废除了奴隶制。	同义：recall	同根：abolishable  可废止的；可废除的；abolition  废除；废止；abolitionist  废奴主义者；废除主义者
abstract	/ˈæbstrækt/	adj. 抽象的，抽象派的 n. 摘要，梗概；抽象派艺术作品	By the age of seven, children are capable of thinking in abstract terms .	儿童到了七岁就具有抽象思维的能力。	同义：brief, deep, extract	同根：abstracted  心不在焉的；出神的；分离出来的；抽出的；abstractionist  抽象派艺术的；abstractive  摘要式的；具有抽象能力的
absurd	/əbˈsɝ​d/	adj.  荒谬的， 荒唐的	It seems an absurd idea.	这似乎是个荒唐的想法。	同义：ridiculous	同根：absurdly  荒谬地；愚蠢地；悖理地；absurdity  荒谬；谬论；荒谬的言行；absurdness  荒谬；愚蠢；不合理
accelerate	/əkˈsɛləˌret/	vt.  使加快， 使增速	measures to accelerate the rate of economic growth	加快经济增长速度的措施	同义：improve	同根：accelerated  加速的；加快的；accelerating  促进的，[物] 加速的；催化的；accelerative  加速的；促进的；催促的
accumulate	/əˈkjumjəlet/	v.  积累， 堆积	It is unjust that a privileged few should continue to accumulate wealth.	少数特权阶级继续积聚财富，这是不公平的。	同义：store up, scrape up	同根：accumulated  累积的；累计的；达到；accumulative  累计的；累积的；积聚而成的；accumulation  积聚，累积；堆积物
acknowledge	/əkˈnɑlɪdʒ/	vt.  承认， 承认…的权威； 告知收到， 确认； 对…表示谢意， 报偿	The family acknowledge the need for change.	全家人都承认需要改变一下。	同义：accept	同根：acknowledged  公认的；被普遍认可的；acknowledgement  承认；确认；感谢；acknowledgment  感谢；承认；承认书
acute	/əˈkjut/	adj.  严重的； 急性的； 灵敏的， 敏锐的； 精明的	The housing shortage is more acute than first thought.	住房短缺情况比一开始想的要严重。	同义：serious	同根：acutely  尖锐地；剧烈地；acuteness  剧烈；敏锐；锐利
adhere	/ədˈhɪr/	vi.  黏附， 附着； 遵守； 坚持； 追随， 支持	All members of the association adhere to a strict code of practice.	所有该协会的成员都遵守严格的业务守则。	同义：stay	同根：adherent  附着的；粘着的；adherence  坚持；依附；忠诚；adherent  信徒；追随者
adjacent	/əˈdʒesnt/	adj.  邻近的， 毗连的	We stayed in adjacent rooms.	我们住在毗连的房间里。	同义：nearby	
aesthetic	/esˈθetɪk; ɛsˈθɛtɪk/	adj.  美学的， 审美的； 悦目的， 雅致的	From an esthetic point of view, it’s a nice design.	从美学角度看，这是个不错的设计。	同义：esthetical	同根：aesthetical  审美的；美学的；有审美感的；aesthetically  审美地；美学观点上地；aesthetics  美学；美的哲学
